state,year,population
AK,2003,648280.0
AK,2004,657755.0
AK,2005,669411.0
AK,2006,676248.0
AK,2007,681255.0
AK,2008,688422.0
AK,2009,676473.0
AK,2010,684484.0
AK,2011,693914.0
AK,2012,704218.0
AK,2013,702641.0
AK,2014,709670.0
AK,2015,725461.0
AL,2003,4503726.0
AL,2004,4525375.0
AL,2005,4539611.0
AL,2006,4628981.0
AL,2007,4672840.0
AL,2008,4718206.0
AL,2009,4633360.0
AL,2010,4712651.0
AL,2011,4747424.0
AL,2012,4777326.0
AL,2013,4795087.0
AL,2014,4812848.0
AL,2015,4830620.0
AR,2003,2727774.0
AR,2004,2750000.0
AR,2005,2772152.0
AR,2006,2812324.0
AR,2007,2839172.0
AR,2008,2864981.0
AR,2009,2829079.0
AR,2010,2863194.0
AR,2011,2886436.0
AR,2012,2906919.0
AR,2013,2920952.0
AR,2014,2934985.0
AR,2015,2949011.0
AZ,2003,5579222.0
AZ,2004,5739879.0
AZ,2005,5952083.0
AZ,2006,6029141.0
AZ,2007,6167681.0
AZ,2008,6280362.0
AZ,2009,6324865.0
AZ,2010,6246816.0
AZ,2011,6337373.0
AZ,2012,6410979.0
AZ,2013,6487963.0
AZ,2014,6564947.0
AZ,2015,6641928.0
CA,2003,35462712.0
CA,2004,35842038.0
CA,2005,35990312.0
CA,2006,36021202.0
CA,2007,36250311.0
CA,2008,36604337.0
CA,2009,36308527.0
CA,2010,36637290.0
CA,2011,36969200.0
CA,2012,37325068.0
CA,2013,37690535.0
CA,2014,38056002.0
CA,2015,38421464.0
CO,2003,4547633.0
CO,2004,4601821.0
CO,2005,4673724.0
CO,2006,4720423.0
CO,2007,4803868.0
CO,2008,4889730.0
CO,2009,4843211.0
CO,2010,4887061.0
CO,2011,4966061.0
CO,2012,5042853.0
CO,2013,5121540.0
CO,2014,5200227.0
CO,2015,5278906.0
CT,2003,3486960.0
CT,2004,3498966.0
CT,2005,3486490.0
CT,2006,3517460.0
CT,2007,3527270.0
CT,2008,3545579.0
CT,2009,3494487.0
CT,2010,3545837.0
CT,2011,3558172.0
CT,2012,3572213.0
CT,2013,3579216.0
CT,2014,3586219.0
CT,2015,3593222.0
DC,2003,557620.0
DC,2004,554239.0
DC,2005,582049.0
DC,2006,570681.0
DC,2007,574404.0
DC,2008,580236.0
DC,2009,588433.0
DC,2010,584400.0
DC,2011,593955.0
DC,2012,605759.0
DC,2013,619667.0
DC,2014,633575.0
DC,2015,647484.0
DE,2003,818166.0
DE,2004,830069.0
DE,2005,840558.0
DE,2006,859268.0
DE,2007,871749.0
DE,2008,883874.0
DE,2009,863832.0
DE,2010,881278.0
DE,2011,890856.0
DE,2012,900131.0
DE,2013,908905.0
DE,2014,917679.0
DE,2015,926454.0
FL,2003,16999181.0
FL,2004,17385430.0
FL,2005,17736027.0
FL,2006,18166990.0
FL,2007,18367842.0
FL,2008,18527305.0
FL,2009,18222420.0
FL,2010,18511620.0
FL,2011,18688787.0
FL,2012,18885152.0
FL,2013,19138690.0
FL,2014,19392228.0
FL,2015,19645772.0
GA,2003,8676460.0
GA,2004,8918129.0
GA,2005,9107719.0
GA,2006,9155813.0
GA,2007,9349988.0
GA,2008,9504843.0
GA,2009,9497667.0
